ACC	DEFINITION
SM01354	Bovine leukaemia virus receptor (BLVR)
SM00877	
SM00749	bacterial OsmY and nodulation domain
SM01035	BOP1NT (NUC169) domain
SM00269	Bowman-Birk type proteinase inhibitor
SM01036	BP28CT (NUC211) domain
SM00328	BPI/LBP/CETP N-terminal domain
SM00329	BPI/LBP/CETP C-terminal domain
SM00292	breast cancer carboxy-terminal domain
SM01039	
SM00501	BRIGHT, ARID (A/T-rich interaction domain) domain
SM00879	
SM00592	domain in transcription and CHROMO domain helicases
SM00338	basic region leucin zipper
SM01041	BRO1-like domain
SM00297	bromo domain
SM01040	BRO family, N-terminal domain
SM01042	Di-sulfide bridge nucleocytoplasmic transport domain
SM00751	domain in transcription factors and synapse-associated proteins
SM01043	Bacterial transcriptional activator domain
SM00225	Broad-Complex, Tramtrack and Bric a brac
SM01268	Beta-trefoil DNA-binding domain
SM00099	tob/btg1 family
SM00107	Bruton's tyrosine kinase Cys-rich motif
SM00576	Bromodomain transcription factors and PHD domain containing proteins
SM01044	CASC3/Barentsz eIF4AIII binding
SM01045	
SM00109	Protein kinase C conserved region 1 (C1) domains (Cysteine-rich domains)
SM01047	TFIIH C1-like domain
SM00110	Complement component C1q domain.
SM00239	Protein kinase C conserved region 2 (CalB)
SM00643	Netrin C-terminal Domain
SM00111	C-terminal tandem repeated domain in type 4 procollagens
SM01048	
SM00832	
SM00112	Cadherin repeats.
SM01062	Voltage gated calcium channel IQ domain
SM01049	
SM01050	Cactus-binding C-terminus of cactin protein
SM00266	Domains present in proteins implicated in post-mortem DNA fragmentation
SM00736	Dystroglycan-type cadherin-like domains.
SM01055	Cadherin prodomain like
SM00113	calcitonin
SM00720	
SM00237	Domains in Na-Ca exchangers and integrin-beta4
SM01053	Calmodulin binding domain
SM01054	Plant calmodulin-binding domain
SM01051	Microtubule-binding calmodulin-regulated spectrin-associated
SM01056	Cell-wall agglutinin N-terminal ligand-sugar binding
SM00672	Putative lipopolysaccharide-modifying enzyme.
SM01052	
SM01057	Eukaryotic-type carbonic anhydrase
SM00114	Caspase recruitment domain
SM01058	CarD-like/TRCF domain
SM00673	Domain in CAPs (cyclase-associated proteins) and X-linked retinitis pigmentosa 2 gene product.
SM00115	Caspase, interleukin-1 beta converting enzyme (ICE) homologues
SM00722	 Domain present in carbohydrate binding proteins and sugar hydrolses
SM01059	Chloramphenicol acetyltransferase
SM01060	
SM00831	Cation transporter/ATPase, N-terminus
SM01061	CAT RNA binding domain
SM00637	
SM00606	Cellulose Binding Domain Type IV
SM00521	CCAAT-Binding transcription Factor
SM01064	Cellulose or protein binding domain
SM01065	Starch binding domain
SM01066	Carbohydrate binding domain
SM01067	Cellulose binding domain
SM01063	Carbohydrate binding domain CBM49
SM01068	Putative carbohydrate binding domain
SM00116	Domain in cystathionine beta-synthase and other proteins.
SM01366	
SM00032	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
SM01069	Cdc37 C terminal domain
SM01070	Cdc37 Hsp90 binding domain
SM01071	Cdc37 N terminal kinase binding
SM01072	Cell division protein 48 (CDC48) domain 2
SM01073	Cell division protein 48 (CDC48) N-terminal domain
SM01074	CDC6, C terminal
SM01075	DNA replication factor CDT1 like
SM00674	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.
SM00747	
SM01076	
SM01077	Uncharacterized conserved protein CG6151-P
SM01078	
SM00033	Calponin homology domain
SM00880	
SM01079	
SM01080	
SM01081	Putative carbohydrate binding domain
SM00260	Two component signalling adaptor domain
SM00587	ZnF_C4 abd HLH domain containing kinases domain
SM00754	A domain in the BMP inhibitor chordin and in microbial proteins.
SM00298	Chromatin organization modifier domain
SM00300	Chromo Shadow Domain
SM00270	Chitin binding domain
SM00494	Chitin-binding domain type 2
SM00495	Chitin-binding domain type 3
SM00728	Clostridial hydrophobic, with a conserved W residue, domain.
SM01082	Histone chaperone domain CHZ
SM01404	Cation-independent mannose-6-phosphate receptor repeat
SM01083	N-terminal domain of CBF1 interacting co-repressor CIR
SM00764	Citrate lyase ligase C-terminal domain
SM01085	Casein kinase II regulatory subunit
SM01084	Cyclin-dependent kinase regulatory subunit
SM00035	CLUSTERIN alpha chain
SM00030	CLUSTERIN Beta chain
SM00034	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
SM00299	Clathrin heavy chain repeat homology
SM00680	Clip or disulphide knot domain
SM01086	C-terminal, D2-small domain, of ClpB protein
SM00830	Chorismate mutase type II
SM00036	Domain found in NIK1-like kinases, mouse citron and yeast ROM1, ROM2
SM00100	Cyclic nucleotide-monophosphate binding domain
SM00037	Connexin homologues
SM00881	CoA binding domain
SM00882	Coenzyme A transferase
SM00833	 Cobalamin synthesis protein cobW C-terminal domain
SM01092	CO dehydrogenase flavoprotein C-terminal domain
SM00762	COG4 transport protein
SM01087	Conserved oligomeric complex COG6
SM01088	Nematode cuticle collagen N-terminal domain
SM00038	Fibrillar collagens C-terminal domain
SM00023	Colipase
SM01089	Gap junction channel protein cysteine-rich domain
SM01090	
SM01091	Transporter associated domain
SM01398	
SM01283	
SM01093	
SM01094	CpcD/allophycocyanin linker domain
SM00577	catalytic domain of ctd-like phosphatases
SM01095	Cpl-7 lysozyme C-terminal domain
SM00883	Chaperonin 10 Kd subunit
SM01096	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
SM01097	Carbamoyl-phosphate synthase small chain, CPSase domain
SM01098	
SM01099	
SM00757	CT11-RanBPM
SM01100	CRAL/TRIO, N-terminal domain
SM00039	corticotropin-releasing factor
SM01101	
SM01102	CRM1 C terminal
SM01103	
SM00040	Granulocyte-macrophage colony-simulating factor (GM-CSF)
SM01046	c-SKI Smad4 binding domain
SM00357	Cold shock protein domain
SM00041	C-terminal cystine knot-like domain (CTCK)
SM01104	Spt5 C-terminal nonapeptide repeat binding Spt4
SM00668	C-terminal to LisH motif. 
SM00679	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.
SM00042	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
SM00546	Domain that may be involved in binding ubiquitin-conjugating enzymes (UBCs)
SM00412	Copper-Fist
SM00182	Cullin
SM00884	Cullin protein neddylation domain
SM00835	Cupin
SM01109	
SM01110	
SM01111	
SM00605	
SM01115	
SM01114	Tesmin/TSO1-like CXC domain
SM00834	 Putative regulatory protein
SM00043	Cystatin-like domain
SM01116	Cyanate lyase C-terminal domain, Cyanate hydratase
SM00044	Adenylyl- / guanylyl cyclase, catalytic domain
SM00385	domain present in cyclins, TFIIB and Retinoblastoma
SM01332	
SM00230	Calpain-like thiol protease family.
SM01117	Cytochrome b5-like Heme/Steroid binding domain
SM01118	
SM00885	D5 N terminal like
SM00886	Stress responsive A/B Barrel Domain
SM00045	Diacylglycerol kinase accessory domain (presumed)
SM00046	Diacylglycerol kinase catalytic domain (presumed)
SM01121	
SM01120	
SM00836	DALR anticodon binding domain
SM00840	
SM00021	Domain present in Dishevelled and axin
SM01282	Dof, BCAP, and BANK (DBB) motif
SM01122	
SM01123	DBP10CT (NUC160) domain
SM01124	Lariat debranching enzyme, C-terminal domain
SM00767	
SM01125	Dcp2, box A domain
SM00537	Domain in the Doublecortin (DCX) gene product
SM00801	Domain always found downstream of DENN domain, found in a variety of signalling proteins
SM01126	ISXO2-like transposase domain
SM01127	
SM01128	
SM00571	domain in different transcription and chromosome remodeling factors
SM00005	DEATH domain, found in proteins involved in cell death (apoptosis).
SM00031	Death effector domain
SM01418	Defensin propeptide
SM00048	Defensin/corticostatin family
SM01129	Transcriptional regulator DELLA protein N terminal
SM00799	Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN
SM01133	DeoC/LacD family aldolase
SM01134	DeoR C terminal sensor domain
SM00049	Domain found in Dishevelled, Egl-10, and Pleckstrin
SM00487	DEAD-like helicases superfamily
SM00488	
SM00489	
SM01130	Dihydrodipicolinate synthetase family
SM01131	
SM01132	
SM01410	Mitosis protein DIM1
SM01135	
SM00050	Homologues of snake disintegrins  
SM01136	DKCLD (NUC011) domain
SM00301	Doublesex DNA-binding motif
SM00676	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
SM00675	Domains in hypothetical proteins in Drosophila including 2 in CG15241 and CG9329.
SM00686	Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
SM00685	Repeats in fly CG4713, worm Y37H9A.3 and human FLJ20241.
SM00684	Tandem repeat in fly CG14066 (La related protein), human KIAA0731 and worm R144.7. Unknown function.
SM00683	Repeats in sea squirt COS41.4, worm R01H10.6, fly CG1126 etc.
SM00692	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.
SM00718	DM4/DM12 family of domains in Drosophila melanogaster proteins of unknown function.
SM00690	Domain of unknown function, currently peculiar to Drosophila.
SM00689	Cysteine-rich domain currently specific to Drosophila.
SM00688	Domain of unknown function in Drosophila CG15332, CG15333 and CG18293
SM00697	Repeats found in several Drosophila proteins.
SM00696	Repeats found in Drosophila proteins.
SM01137	DMAP1-binding Domain
SM00766	DNA primase DnaG DnaB-binding
SM00271	DnaJ molecular chaperone homology domain
SM01340	DNA mismatch repair protein, C-terminal domain
SM00476	deoxyribonuclease I
SM00664	Possible catecholamine-binding domain present in a variety of eukaryotic proteins.
SM01138	Transcription factor DP
SM00837	Rare lipoprotein A (RlpA)-like double-psi beta-barrel
SM01139	Diaphanous FH3 Domain
SM01140	Diaphanous GTPase-binding Domain
SM01141	Alternative splicing regulator
SM01119	Putative serine dehydratase domain
SM01142	
SM00051	delta serrate ligand
SM00195	Dual specificity phosphatase, catalytic domain
SM00358	Double-stranded RNA binding motif
SM01385	
SM01143	Doublesex dimerisation domain
SM01144	
SM01145	Domain of Unknown Function (DUF1041)
SM01415	Integral membrane protein DUF106
SM01146	Domain of Unknown Function (DUF1086)
SM01147	
SM01148	Repeat of unknown function (DUF1220)
SM01149	
SM01150	
SM01151	
SM01152	
SM01153	Domain of unknown function (DUF1693)
SM01154	
SM01155	Mitochondrial domain of unknown function (DUF1713) 
SM01156	Eukaryotic domain of unknown function (DUF1716)
SM01157	
SM01158	
SM01159	
SM01160	Eukaryotic integral membrane protein (DUF1751)
SM01161	
SM01162	
SM01163	
SM01164	
SM01165	
SM01166	
SM01167	
SM01168	
SM01169	
SM01170	
SM01325	
SM01346	Domain of unknown function
SM01293	Domain of unknown function (DUF3402)
SM01367	Domain of unknown function (DUF3452)
SM01334	Domain of unknown function
SM01421	Domain of unknown function (DUF3480)
SM01203	
SM01331	Domain of unknown function
SM01172	
SM01173	
SM01174	
SM01175	
SM01176	
SM01177	
SM01178	
SM01362	Protein of unknown function (DUF663)
SM01179	PPPDE putative peptidase domain
SM00695	Domain in ubiquitin-specific proteases.
SM00523	Domain A in dwarfin family proteins
SM00524	Domain B in dwarfin family proteins
SM01180	
SM00053	Dynamin, GTPase
SM01375	Dynein light chain type 1
SM00694	Dysferlin domain, C-terminal region.
SM00693	Dysferlin domain, N-terminal region.
SM00572	domain in DSRM or ZnF_C2H2 domain containing proteins
SM01181	
SM01372	E2F/DP family winged-helix DNA-binding domain
SM00052	Putative diguanylate phosphodiesterase
SM00887	Ethylbenzene dehydrogenase
SM01284	C-terminal domain of the ECSIT protein
SM01182	Eukaryotic elongation factor 1 beta central acidic region
SM01183	Elongation factor 1 gamma, conserved domain
SM00888	EF-1 guanine nucleotide exchange domain
SM00838	Elongation factor G C-terminus
SM00889	Elongation factor G, domain IV
SM00054	EF-hand, calcium binding motif
SM01184	Ca2+ insensitive EF hand 
SM01185	Elongation factor P (EF-P) OB domain 
SM00181	Epidermal growth factor-like domain.
SM00179	Calcium-binding EGF-like domain
SM00180	Laminin-type epidermal growth factor-like domai
SM00001	EGF domain, unclasssified subfamily
SM00027	Eps15 homology domain
SM00652	eukaryotic translation initiation factor 1A
SM00653	domain present in translation initiation factor eIF2B and eIF5
SM01186	eIF3 subunit 6 N terminal domain
SM01376	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
SM00515	Domain at the C-termini of GCD6, eIF-2B epsilon, eIF-4 gamma and eIF-5
SM00654	translation initiation factor 6
SM00890	Domain of unknown function
SM00839	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
SM01187	
SM01188	
SM01189	
SM00841	Elongation factor P, C-terminal
SM00729	Elongator protein 3, MiaB family, Radical SAM
SM01190	emp24/gp25L/p24 family/GOLD
SM00272	Endothelin
SM00478	endonuclease III
SM00892	DNA/RNA non-specific endonuclease
SM01192	Enolase, C-terminal TIM barrel domain 
SM01193	Enolase, N-terminal domain 
SM01191	
SM00273	Epsin N-terminal homology (ENTH) domain
SM00026	Ependymins
SM00615	Ephrin receptor ligand binding domain
SM01411	Putative ephrin-receptor like
SM00891	ERCC4 domain
SM01194	
SM01425	EsV-1-7 repeat
SM00893	Electron transfer flavoprotein domain
SM00413	erythroblast transformation specific domain
SM00894	Excalibur calcium-binding domain
SM00479	
SM00567	E-Z type HEAT repeats
SM01195	FERM adjacent (FA)
SM00231	Coagulation factor 5/8 C-terminal domain, discoidin domain
SM00808	F-actin binding domain (FABD) 
SM01285	FACT complex subunit SPT16 N-terminal lobe domain
SM01197	FANCL C-terminal domain
SM00898	Formamidopyrimidine-DNA glycosylase N-terminal domain
SM00554	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
SM01343	
SM01198	F-box associated region
SM00579	domain in FBox and BRCT domain containing plant proteins
SM00186	Fibrinogen-related domains (FReDs)
SM00256	A Receptor for Ubiquitination Targets
SM00236	Fungal-type cellulose-binding domain
SM00895	
SM00055	Fes/CIP4 homology domain
SM01199	
SM00896	Ferredoxin-fold anticodon binding domain
SM00902	Iron hydrogenase small subunit
SM00899	
SM01200	
SM01201	
SM01202	
SM01196	FERM C-terminal PH-like domain 
SM00525	
SM00441	Contains two conserved F residues
SM00442	Acidic and basic fibroblast growth factor family.
SM00339	FORKHEAD
SM00498	Formin Homology 2 Domain
SM00240	Forkhead associated domain
SM01212	Fibrinogen alpha/beta chain family
SM01206	
SM01391	Intermediate filament protein
SM00057	factor I membrane attack complex
SM01288	Fish-specific NACHT associated domain
SM00897	FIST N domain
SM01204	
SM01205	1,3-beta-glucan synthase subunit FKS1
SM00903	Flavin reductase like domain
SM00904	Riboflavin kinase
SM01213	
SM00759	Influenza Matrix protein (M1) C-terminal domain
SM00900	
SM01214	RNA pol II promoter Fmp27 protein domain
SM01215	RNA pol II promoter Fmp27 protein domain
SM01216	RNA pol II promoter Fmp27 protein domain Provide feedback
SM00058	Fibronectin type 1 domain
SM00059	Fibronectin type 2 domain
SM00060	Fibronectin type 3 domain
SM01217	Fibronectin type III-like domain
SM00905	Dihydroneopterin aldolase
SM00274	Follistatin-N-terminal domain-like
SM01218	C-terminal duplication domain of Friend of PRMT1
SM01219	Frataxin-like domain
SM00901	
SM00063	Frizzled
SM01330	Frizzled/Smoothened family membrane region
SM01220	Fragile site-associated protein C-terminus
SM01221	Formiminotransferase domain
SM01222	Formiminotransferase domain, N-terminal subdomain
SM01223	FTO catalytic domain 
SM00607	eel-Fucolectin Tachylectin-4 Pentaxrin-1 Domain
SM00842	Cell division protein FtsA
SM00843	
SM00261	Furin-like repeats
SM00906	Fungal specific transcription factor domain
SM00542	"FY-rich" domain, C-terminal region
SM00541	"FY-rich" domain, N-terminal region
SM00064	Protein present in Fab1, YOTB, Vac1, and EEA1
SM00682	G2 nidogen domain and fibulin
SM01207	Glycerol-3-phosphate acyltransferase 
SM01208	
SM01225	
SM00844	GA module
SM00065	Domain present in phytochromes and cGMP-specific phosphodiesterases.
SM01226	GAGA binding protein-like family
SM01379	
SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
SM00071	Galanin
SM00908	Galactoside-binding lectin
SM00275	G protein alpha subunit
SM01209	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain 
SM01210	Phosphoribosylglycinamide synthetase, C domain 
SM00243	Growth-Arrest-Specific Protein 2 Domain
SM00029	gastrin / cholecystokinin / caerulein family
SM01211	CobB/CobQ-like glutamine amidotransferase domain
SM00845	GatB domain
SM01227	
SM00907	GDNF/GAS1 domain
SM00302	Dynamin GTPase effector domain
SM00262	Gelsolin homology domain
SM00909	Sporulation and spore germination
SM01224	GGL domain
SM00267	diguanylate cyclase
SM00224	G protein gamma subunit-like motifs
SM00067	Glycoprotein hormone alpha chain homologues.
SM00068	Glycoprotein hormone beta chain homologues.
SM01228	GidA associated domain 3
SM00555	Helical motif in the GIT family of ADP-ribosylation factor GTPase-activating proteins
SM00465	GIY-YIG type nucleases (URI domain)
SM00069	Domain containing Gla (gamma-carboxyglutamate) residues.
SM00276	Galectin
SM01230	Glutamine synthetase, catalytic domain
SM00070	Glucagon like hormones
SM01229	
SM00633	Glycosyl hydrolase family 10
SM00636	
SM00641	Glycosyl hydrolases family 25
SM00640	Glycosyl hydrolases family 32
SM00390	LGN motif, putative GEFs specific for G-alpha GTPases
SM00443	glycine rich nucleic binding domain
SM00846	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
SM00303	G-protein-coupled receptor proteolytic site domain
SM00568	domain in glucosyltransferases, myotubularins and other putative membrane-associated proteins
SM00277	Granulin
SM00755	golgin-97, RanBP2alpha,Imh1p and p230/golgin-245
SM00467	GS motif
SM00072	Guanylate kinase homologues.
SM00444	Contains conserved Gly-Tyr-Phe residues
SM00713	Motif of unknown function with conserved Gly, Tyr, Arg tripeptide in Drosophila proteins.
SM00526	Domain in histone families 1 and 5
SM00414	Histone 2A
SM00427	Histone H2B
SM01232	Formamidopyrimidine-DNA glycosylase H2TH domain
SM00428	Histone H3
SM00417	Histone H4
SM00847	Helicase associated domain (HA2)  Add an annotation
SM01233	Hyaluronan / mRNA binding family
SM00912	haemagglutination activity domain
SM01235	Haem-binding domain
SM01234	
SM01236	Iron-containing redox enzyme
SM00340	homeobox associated leucin zipper
SM00304	HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain
SM01424	HAP1 N-terminal conserved region 
SM00386	HAT (Half-A-TPR) repeats
SM00387	Histidine kinase-like ATPases
SM01358	helical bimodular (HBM) domain
SM00761	Histone deacetylase (HDAC) interacting
SM00471	Metal dependent phosphohydrolases with conserved 'HD' motif.
SM00119	Domain Homologous to E6-AP Carboxyl Terminus with 
SM00490	helicase superfamily c-terminal domain
SM00491	
SM00492	
SM00748	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
SM00278	Helix-hairpin-helix DNA-binding motif class 1
SM00279	Helix-hairpin-helix class 2 (Pol1 family) motifs
SM00305	Hint (Hedgehog/Intein) domain C-terminal region
SM00306	Hint (Hedgehog/Intein) domain N-terminal region
SM00910	
SM00388	His Kinase A (phosphoacceptor) domain
SM01231	Signal transducing histidine kinase, homodimeric domain
SM00353	helix loop helix domain
SM00398	high mobility group
SM00527	domain in high mobilty group proteins HMG14 and HMG 17
SM00507	HNH nucleases
SM00528	Domain in histone-like proteins of HNS family
SM00430	Ligand binding domain of hormone receptors
SM00008	Domain present in hormone receptors
SM00389	Homeodomain
SM00073	Histidine Phosphotransfer domain
SM00742	Rho effector or protein kinase C-related kinase homology region 1 homologues
SM00341	Helicase and RNase D C-terminal
SM00573	domain in helicases and associated with SANT domains
SM00415	heat shock factor
SM00342	helix_turn_helix, arabinose operon control protein
SM00418	helix_turn_helix, Arsenical Resistance Operon Repressor
SM00344	helix_turn_helix ASNC type
SM00419	helix_turn_helix, cAMP Regulatory protein
SM00420	helix_turn_helix, Deoxyribose operon repressor
SM00529	Helix-turn-helix diphteria tox regulatory element
SM00345	helix_turn_helix gluconate operon transcriptional repressor
SM00346	helix_turn_helix isocitrate lyase regulation
SM00354	helix_turn _helix lactose operon repressor
SM00421	helix_turn_helix, Lux Regulon
SM00347	helix_turn_helix multiple antibiotic resistance protein
SM00422	helix_turn_helix, mercury resistance
SM00530	Helix-turn-helix XRE-family like proteins 
SM00752	Horizontally Transferred TransMembrane Domain
SM00911	HWE histidine kinase
SM00120	Hemopexin-like repeats.
SM00075	Hydrophobins
SM00121	Insulin growth factor-binding protein homologues
SM00913	Importin-beta N-terminal domain
SM00647	In Between Ring fingers
SM01237	Islet cell autoantigen ICA69, C-terminal domain 
SM00914	
SM00497	Intron encoded nuclease repeat motif
SM00496	Intron-encoded nuclease repeat 2
SM00076	Interferon alpha, beta and delta.
SM00409	Immunoglobulin
SM00407	Immunoglobulin C-Type
SM00408	Immunoglobulin C-2 Type
SM00557	Filamin-type immunoglobulin domains
SM00410	Immunoglobulin like
SM01238	
SM00406	Immunoglobulin V-Type
SM01239	I-kappa-kinase-beta NEMO binding domain
SM00125	Interleukin-1 homologues 
SM00188	Interleukin-10 family
SM00189	Interleukin-2 family
SM00190	Interleukins 4 and 13
SM00126	Interleukin-6 homologues
SM00127	Interleukin-7 and interleukin-9 family.
SM00078	Insulin / insulin-like growth factor / relaxin family.
SM00307	I/LWEQ domain
SM01240	IMP dehydrogenase / GMP reductase domain
SM00187	Integrin beta subunits (N-terminal portion of extracellular region)
SM01408	Inhibitor of growth proteins N-terminal histone-binding
SM00848	Cathepsin propeptide inhibitor domain (I29)
SM00191	Integrin alpha (beta-propellor repeats).
SM01241	
SM01242	
SM00128	Inositol polyphosphate phosphatase, catalytic domain homologues
SM00429	ig-like, plexins, transcription factors
SM00015	Short calmodulin-binding motif containing conserved Ile and Gln residues.
SM00348	interferon regulatory factor
SM01243	Interferon-regulatory factor 3
SM00548	Motif in Iroquois-class homeodomain proteins (only). Unknown function.
SM01244	Phosphotyrosine-binding domain
SM01329	Isocitrate/isopropylmalate dehydrogenase
SM00077	Immunoreceptor tyrosine-based activation motif
SM00232	JAB/MPN domain
SM00915	Jacalin-like lectin domain
SM01245	
SM00700	Juvenile hormone binding protein domains in insects.
SM00558	A domain family that is part of the cupin metalloenzyme superfamily.
SM00545	Small domain found in the jumonji family of transcription factors
